Category,Products,Sales_Value,Average_MRP,Average_Selling_Price,Average_Discount,Out_of_Stock,Total_Quantity
Beverages,122,333048300,11870.542635658914,10372.868217054263,7.155038759689923,28,28843
Biscuits,133,179207600,5948.9795918367345,5277.959183673469,8.244897959183673,42,26009
Chocolates & Candies,367,1734991700,15572.680412371134,14107.731958762886,8.324742268041238,45,103490
Cooking Essentials,478,1361622600,15653.501945525291,14082.684824902724,7.163424124513619,64,106489
"Dairy, Bread & Batter",122,333048300,11870.542635658914,10372.868217054263,7.155038759689923,28,28843
Fruits & Vegetables,89,44099700,4701.075268817204,3983.8709677419356,15.46236559139785,6,16030
Health & Hygiene,90,149611700,15917.525773195875,14585.567010309278,8.051546391752577,13,8054
Home & Cleaning,185,367834300,15215.463917525773,14144.845360824742,5.675257731958763,19,26109
Ice Cream & Desserts,367,1734991700,15572.680412371134,14107.731958762886,8.324742268041238,45,103490
"Meats, Fish & Eggs",61,369397600,18728.571428571428,16409.52380952381,11.031746031746032,12,17231
Munchies,478,1361622600,15653.501945525291,14082.684824902724,7.163424124513619,64,106489
Paan Corner,310,1258107500,20728.571428571428,18989.79591836735,6.239067055393586,21,60430
Packaged Food,367,1734991700,15572.680412371134,14107.731958762886,8.324742268041238,45,103490
Personal Care,310,1258107500,20728.571428571428,18989.79591836735,6.239067055393586,21,60430
